"scientific_name","midpoint_cc","releveCode"
"Anemone quinquefolia",3,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Anemone quinquefolia",3,"SOUTHERN TERRACE FOREST"
"Anemone quinquefolia",3,"SOUTHERN WET ASH SWAMP"
"Anemone quinquefolia",4,"SOUTHERN WET-MESIC HARDWOOD FOREST"
"Anemone virginiana",1,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Anemone virginiana",3,"SOUTHERN MESIC PRAIRIE"
"Angelica atropurpurea",15,"SOUTHERN SEEPAGE MEADOW/CARR"
"Angelica atropurpurea",3,"SOUTHERN WET ASH SWAMP"
"Antennaria spp.",3,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Antennaria spp.",3,"Dry Barrens Prairie Southern"
"Antennaria spp.",3,"Dry Sand Gravel Prairie Southern"
"Antennaria spp.",5,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Antennaria spp.",3,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Antennaria spp.",3,"SOUTHERN MESIC PRAIRIE"
"Apios americana",1,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Apios americana",3,"SOUTHERN SEEPAGE MEADOW/CARR"
"Apios americana",5,"SOUTHERN WET PRAIRIE"
"Aplectrum hyemale",3,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Aplectrum hyemale",1,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Apocynum androsaemifolium",1,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Apocynum androsaemifolium",3,"Dry Barrens Prairie Southern"
"Apocynum androsaemifolium",5,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Apocynum androsaemifolium",3,"SOUTHERN DRY-MESIC OAK FOREST"
"Apocynum androsaemifolium",2,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Apocynum androsaemifolium",3,"SOUTHERN MESIC PRAIRIE"
"Apocynum cannabinum",3,"Dry Barrens Prairie Southern"
"Apocynum cannabinum",3,"SOUTHERN SEEPAGE MEADOW/CARR"
"Apocynum sibiricum",3,"NORTHERN WET MEADOW/CARR, SEDGE MEADOW TYPE"
"Apocynum sibiricum",3,"SOUTHERN MESIC PRAIRIE"
"Apocynum sibiricum",3,"SOUTHERN SEEPAGE MEADOW/CARR"
"Apocynum sibiricum",5,"SOUTHERN WET PRAIRIE"
"Aquilegia canadensis",3,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Aquilegia canadensis",3,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Aquilegia canadensis",3,"SOUTHERN DRY-MESIC OAK FOREST"
"Aquilegia canadensis",2,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Aquilegia canadensis",6,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Aquilegia canadensis",3,"SOUTHERN WET-MESIC HARDWOOD FOREST"
"Arabis divaricarpa",2,"Dry Barrens Oak Savanna (Southern)    UPs14a"
"Arabis divaricarpa",4,"Dry Sand Gravel Prairie Southern"
"Arabis divaricarpa",1,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Arabis hirsuta",1,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Arabis lyrata",3,"SOUTHERN DRY PRAIRIE, DRY BEDROCK BLUFF PRAIRIE (SOUTHERN) TYPE"
"Aralia nudicaulis",3,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Aralia nudicaulis",1,"SOUTHERN DRY SAVANNA, DRY SAND-GRAVEL OAK SAVANNA (SOUTHERN) TYPE"
"Aralia nudicaulis",6,"SOUTHERN DRY-MESIC OAK FOREST"
"Aralia nudicaulis",4,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Aralia nudicaulis",4,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Aralia nudicaulis",7,"SOUTHERN RICH CONIFER SWAMP"
"Aralia nudicaulis",3,"SOUTHERN WET ASH SWAMP"
"Aralia racemosa",2,"CENTRAL MESIC HARDWOOD FOREST (EASTERN)"
"Aralia racemosa",2,"SOUTHERN DRY-MESIC OAK FOREST"
"Aralia racemosa",2,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Aralia racemosa",3,"SOUTHERN MESIC OAK-BASSWOOD FOREST"
"Aralia racemosa",3,"SOUTHERN RICH CONIFER SWAMP"
"Arctium minus",3,"SOUTHERN DRY-MESIC OAK FOREST"
"Arctium minus",1,"SOUTHERN MESIC MAPLE-BASSWOOD FOREST"
"Arctium minus",4,"Southern Floodplain Forest"
